 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05742;LAS ROZAS DE VALDEARROYO;42,973609;-4,029832;CARRETERA CA-730 - ESTACION FERROCARRIL, S/N;39213;Rozas de Valdearroyo, Las;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05742.pdf;
05743;MONTES CLAROS;42,932039;-4,042668;CARRETERA CA-741 - ESTACION FERROCARRIL, S/N;39417;Valdeprado del Río;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05743.pdf;
05744;LOS CARABEOS;42,910355;-4,075293;CARRETERA CA-741 - ESTACION FERROCARRIL, S/N;39419;Valdeprado del Río;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05744.pdf;
05747;CILLAMAYOR;42,857789;-4,279065;CALLE RIO CILL - ESTACION FERROCARRIL, S/N;34829;Barruelo de Santullán;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05747.pdf;
05748;SALINAS DE PISUERGA;42,851259;-4,38599;CARRETERA P-212 - ESTACION FERROCARIL, S/N;34830;Salinas de Pisuerga;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05748.pdf;
05749;VADO-CERVERA;42,839308;-4,494562;CALLE IGLESIA,  S/N;34484;Dehesa de Montejo;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05749.pdf;
05750;CASTREJON DE LA PEÑA;42,811992;-4,601608;CALLE ESTACION FERROCARRIL,S/N;34850;Castrejón de la Peña;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05750.pdf;
05751;VILLAVERDE TARILONTE;42,818521;-4,685757;CALLE DON JESUS MAYORDOMO - ESTACION FERROCARRIL, S/N;34869;Santibáñez de la Peña;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05751.pdf;
05752;SANTIBAÑEZ DE LA PEÑA;42,802064;-4,741527;CARRETERA P-214 - ESTACION FERROCARRIL, S/N;34879;Santibáñez de la Peña;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05752.pdf;
05753;GUARDO-APEADERO;42,787702;-4,845112;CALLE EL SOTO, S/N;34880;Guardo;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05753.pdf;
05754;GUARDO;42,791057;-4,852362;CALLE ESTACION FERROCARRIL, S/N;34880;Guardo;Palencia;https://data.renfe.com/files/estaciones/FichaEstacion05754.pdf;
05755;LA LLAMA DE LA GUZPEÑA;42,77215;-5,03891;CARRETERA CL-626 - ESTACION FERROCARRIL, S/N;24893;Prado de la Guzpeña;León;https://data.renfe.com/files/estaciones/FichaEstacion05755.pdf;
05756;LA ESPINA;42,787317;-4,905185;CARRETERA CL-626 - ESTACION FERROCARRIL, S/N;24889;Valderrueda;León;https://data.renfe.com/files/estaciones/FichaEstacion05756.pdf;
05757;VALCUENDE;42,765639;-4,930047;CALLE ARRIBA, S/N;24889;Valderrueda;León;https://data.renfe.com/files/estaciones/FichaEstacion05757.pdf;
05758;PUENTE ALMUHEY;42,78764;-4,971911;CALLE ESTACION FERROCARRIL, 2 - 4;24880;Valderrueda;León;https://data.renfe.com/files/estaciones/FichaEstacion05758.pdf;
05759;PRADO DE LA GUZPEÑA;42,783264;-5,027122;CALLE LA TORRE, S/N;24893;Prado de la Guzpeña;León;https://data.renfe.com/files/estaciones/FichaEstacion05759.pdf;
05760;VALLE DE LAS CASAS;42,767776;-5,071105;CARRETERA CL-626 - ESTACION FERROCARRIL, S/N;24892;Cebanico;León;https://data.renfe.com/files/estaciones/FichaEstacion05760.pdf;
05761;CISTIERNA;42,803325;-5,130783;CALLE EL HULLERO, 21;24800;Cistierna;León;https://data.renfe.com/files/estaciones/FichaEstacion05761.pdf;
05762;YUGUEROS;42,809817;-5,180063;CALLE REAL, S/N;24879;Ercina, La;León;https://data.renfe.com/files/estaciones/FichaEstacion05762.pdf;
05763;LA ERCINA;42,808842;-5,213909;CALLE ESTACION FERROCARRIL, 10;24870;Ercina, La;León;https://data.renfe.com/files/estaciones/FichaEstacion05763.pdf;
